antiquewhite4	blue	blue2	brown	coral1	cyan	darkgreen	darkmagenta	darkviolet	firebrick4	floralwhite	grey60	mediumpurple2	orangered3	pink	plum	plum2	skyblue	skyblue1	steelblue	thistle2
	ZNF117		MYO9A			KANK3	RRP9				TM9SF4									
	ERV3-1		SENP8			RAB11B-AS1	GPR62				PLAGL2									
	RABGEF1		HEXA-AS1			RAB11B	ABHD14A				POFUT1									
	FGL2		MIR630			MARCH2	ABHD14A-ACY1				KIF3B									
	LOC101927356		REC114			ZNF414	ACY1				ASXL1									
	LOC101927378		NPTN			ADAMTS10	ALAS1				NOL4L									
	ZNF804B		NPTN-IT1			FBXL12	SMIM4				DNMT3B									
	SAMD9		FAM219B			PIN1	SPCS1				CBFA2T2									
	ZAN		UBE2Q2			OLFM2	TMEM110-MUSTN1				EIF2S2									
	MUC17		FBXO22			COL5A3	RFT1				NCOA6									
	NAT16		FBXO22-AS1			C19orf66	CHDH				MYH7B									
	LINC01007		NRG4			PPAN-P2RY11	ABHD6				FER1L4									
	RELN		ETFA			PPAN	ACOX2				CPNE1									
	NAMPT		SCAPER			P2RY11	SLC25A26				RBM12									
	PIK3CG		RCN2			EIF3G	FAM86DP				LINC00657									
	SLC26A3		TSPAN3			S1PR2	LINC00960				EPB41L1									
	PNPLA8		LINC00597			MRPL4	CMSS1				NDRG3									
	IFRD1		HMG20A			RAVER1	ARHGAP31				TLDC2									
	LSMEM1		IDH3A			TYK2	TMEM39A				MROH8									
	LVCAT5		PSMA4			CDC37	COX17				NNAT									
	SLC13A1		MORF4L1			MIR1181	NDUFB4				RPRD1B									
	SPAM1		MTHFS			PDE4A	HGD				SNORA71B									
	LOC101928283		ST20-MTHFS			ATG4D	ILDR1				SNORA71C									
	LOC101928254		ZFAND6			MIR1238	FAM162A				RALGAPB									
	LOC101928333		MESDC2			KRI1	PDIA5				ACTR5									
	CPA2		EFTUD1			AP1M2	MYLK-AS1				DHX35									
	CPA1		ACTG1P17			ILF3-AS1	UMPS				PLCG1-AS1									
	MIR29A		SNHG21			ILF3	SLC12A8				PLCG1									
	MIR29B1		FSD2			QTRT1	TPRA1				ZHX3									
	LINC-PINT		SCARNA15			DNM2	MIR6825				LPIN3									
	LOC100506860		FAM103A1			TMED1	PODXL2				CHD6									
	SLC13A4		BTBD1			CARM1	RPN1				PTPRT									
	FAM180A		MIR4515			YIPF2	RAB7A				SRSF6									
	AKR1D1		HDGFRP3			SPC24	ACAD9				SGK2									
	OR9A4		SH3GL3			DOCK6	ISY1				FITM2									
	CLEC5A		ADAMTSL3			PRKCSH	COPG1				PABPC1L									
	MGAM2		UBE2Q2P1			ZNF653	MIR6826				TP53TG5									
	MOXD2P		PDE8A			ECSIT	HMCES				MIR6812									
	TRY2P		MIR7706			ACP5	NUDT16P1				SPATA25									
	PRSS1		AKAP13			MAN2B1	TMEM108				ZNF335									
	PRSS3P2		MIR1276			DHPS	TMEM108-AS1				NCOA5									
	TRPV5		AGBL1-AS1			TNPO2	TF				SLC2A10									
	OR9A2		FANCI			C19orf43	SRPRB				ZMYND8									
	OR6V1		PEX11A			BEST2	AMOTL2				ARFGEF2									
	TAS2R40		ZNF774			HOOK2	PCCB				STAU1									
	TAS2R60		IQGAP1			RNASEH2A	IL20RB				DDX27									
	TAS2R41		LINC01585			RTBDN	NMNAT3				SNORD12B									
	OR2F1		BLM			MAST1	RNF7				SNORD12									
	OR2A5		MAN2A2			DNASE2	PAQR9-AS1				B4GALT5									
	NOBOX		PRC1			GCDH	LOC100289361				SLC9A8									
	C7orf33		SLCO3A1			SYCE2	CHST2				UBE2V1									
	GIMAP4		ASB9P1			CALR	GYG1				PTPN1									
	GALNTL5		LINC01578			MIR6515	TM4SF1-AS1				FAM65C									
	LINC01287		MCTP2			RAD23A	LOC101928105				ADNP									
	DPP6		NR2F2-AS1			NFIX	SIAH2				ADNP-AS1									
	HTR5A-AS1		LINC00923			LYL1	RAP2B				NFATC2									
	BLACE		ARRDC4			TRMT1	TIPARP-AS1				ATP9A									
	EN2		HSP90B2P			NACC1	LINC00881				ZFP64									
	LOC101927914		LINS			STX10	RARRES1				LOC101927770									
	ERICH1-AS1		ASB7			CCDC130	TERC				ZNF217									
	LOC286083		ALDH1A3			MRI1	PARL				VAPB									
	DLGAP2-AS1		SNRPA1			C19orf53	EIF2B5				STX16									
	DEFA6		TM2D3			ZSWIM4	AP2M1				GNAS									
	DEFA4		TARSL2			C19orf57	ALG3				SYCP2									
	DEFA8P		LMF1-AS1			CC2D1A	ECE2				TAF4									
	DEFA9P		FAHD1			PODNL1	PSMD2				SS18L1									
	DEFA3		MEIOB			DCAF15	POLR2H				OSBPL2									
	SPAG11B		RNF151			RFX1	MAGEF1				TCFL5									
	DEFB105A		LOC652276			LOC113230	TMEM41A				DPH3P1									
	DEFB105B		PRSS30P			SAMD1	ETV5				DIDO1									
	SPAG11A		TIGD7			PRKACA	DNAJB11				GID8									
	FAM86B3P		ZNF75A			LOC100507373	RPL39L				MIR941-1									
	ERI1		ZSCAN32			ADGRL1	TPRG1-AS1				MIR941-4									
	MIR4660		ZNF597			PKN1	HRASLS				MIR941-5									
	PPP1R3B		DNASE1			GIPC1	LINC00885				MIR941-2									
	LINC00599		GRIN2A			NDUFB7	LINC01063				MIR941-3									
	C8orf49		ZC3H7A			SYDE1	NCBP2-AS2				MIR1914									
	USP17L2		RSL1D1			ILVBL	BDH1				MIR647									
	LOC340357		GSPT1			NOTCH3	KIAA0226				PCMTD2									
	SGCZ		LOC101927311			BRD4	ATP5I				LINC00266-1									
	FGL1		PARN			WIZ	IDUA				BAGE2									
	CSGALNACT1		PDXDC1			CYP4F24P	MIR4800				BAGE3									
	ATP6V1B2		NTAN1			AP1M1	RNF4				BAGE5									
	SFTPC		RRN3			EPS15L1	NSG1				BAGE4									
	LOC254896		NDE1			C19orf44	S100P				APP									
	TNFRSF10C		MIR484			CHERP	BLOC1S4				SCAF4									
	ADAM7		MYH11			MED26	LOC389199				HUNK									
	LOC101929315		FOPNL			SIN3B	ABLIM2				MRAP									
	NEFM		ARL6IP1			CPAMD8	HS3ST1				URB1									
	DOCK5		TMC7			MYO9B	FGFBP1				EVA1C									
	STMN4		CLEC19A			USE1	QDPR				PAXBP1-AS1									
	LOC101929450		TMC5			OCEL1	MED28				SON									
	LOC101929470		IQCK			NR2F6	UGDH-AS1				MIR6501									
	FAM183CP		THUMPD1			USHBP1	SHISA3				CLIC6									
	TEX15		ACSM3			ABHD8	OCIAD2				RUNX1									
	ADRB3		ERI2			DDA1	DANCR				SETD4									
	C8orf86		LYRM1			GTPBP3	MIR4449				DOPEY2									
	ADAM3A		CRYM-AS1			MVB12A	ERVMER34-1				SIM2									
	ADAM18		MIR3680-1			SLC27A1	SCFD2				HLCS									
	ADAM2		MIR3680-2			PGLS	NMU				RIPPLY3									
	DKK4		METTL9			FAM129C	UBA6-AS1				DYRK1A									
	CHRNA6		UQCRC2			COLGALT1	UGT2B7				DSCAM-AS1									
	LINC00293		PDZD9			MAP1S	HTN1				MIR6814									
	PRKDC		CDR2			B3GNT3	AMTN				PRDM15									
	OPRK1		RRN3P3			RPL18A	MTHFD2L				C2CD2									
	SBF1P1		PALB2			SNORA68	PARM1				PKNOX1									
	LYN		RBBP6			SLC5A5	NAAA				RRP1B									
	LINC00968		LOC554206			CCDC124	SOWAHB				TRAPPC10									
	LINC00588		LCMT1-AS1			ARRDC2	HPSE				UBE2G2									
	LOC101929488		SLC7A5P1			PIK3R2	C4orf36				ADARB1									
	FAM110B		FBXL19-AS1			RAB3A	ADH5				POFUT2									
	UBXN2B		ZNF720			JUND	H2AFZ				MCM3AP-AS1									
	CYP7A1		SHCBP1			LSM4	DDIT4L				MCM3AP									
	SDCBP		VPS35			PGPEP1	HADH				PCNT									
	NSMAF		ORC6			ISYNA1	LEF1				DIP2A									
	LOC102724612		C16orf87			FKBP8	LEF1-AS1				BCL2L13									
	LINC01289		DNAJA2			KXD1	NUDT6				MICAL3									
	MIR124-2HG		NETO2			UBA52	SPRY1				CLTCL1									
	LINC01299		ITFG1-AS1			KLHL26	NOCT				C22orf29									
	PREX2		ITFG1			CRTC1	NDUFC1				DGCR8									
	PRDM14		PHKB			UPF1	MGST2				MIR3618									
	LY96		LONP2			GDF1	UCP1				MIR1306									
	LINC01111		LOC100507577			CERS1	LSM6				PI4KAP1									
	PKIA-AS1		SIAH1			DDX49	GATB				PI4KA									
	PAG1		N4BP1			HOMER3	CPE				SNAP29									
	CA2		CNEP1R1			ARMC6	DCTD				CRKL									
	REXO1L2P		MIR6771			SLC25A42	CLDN22				PPIL2									
	DCAF4L2		CYLD			TMEM161A	CCDC127				TOP3B									
	CALB1		MIR3181			MEF2B	SDHA				POM121L1P									
	LINC00534		TOX3			MEF2BNB-MEF2B	PDCD6				GUSBP11									
	TMEM55A		CHD9			MEF2BNB	AHRR				SLC2A11									
	RUNX1T1		LOC102723373			RFXANK	MRPL36				SPECC1L									
	LOC102724710		RBL2			NR2C2AP	NDUFS6				SNRPD3									
	GEM		AKTIP			NCAN	MED10				KIAA1671									
	CPQ		FTO			HAPLN4	SRD5A1				CRYBB2									
	DCSTAMP		CRNDE			SUGP1	DAP				LRP5L									
	RSPO2		NUDT21			MAU2	ZNF622				ADRBK2									
	KCNV1		OGFOD1			GATAD2A	OSMR-AS1				HPS4									
	LINC01608		BBS2			TSSK6	LOC648987				TFIP11									
	CSMD3		CETP			YJEFN3	MRPS30				LINC01422									
	NOV		FAM192A			CILP2	PELO				TTC28-AS1									
	FBXO32		RSPRY1			LPAR2	FST				TTC28									
	TRIB1		SNORA46			ATP13A1	MIR449C				ZNRF3									
	LINC00824		SNORA76A			ZNF826P	PPAP2A				EWSR1									
	LINC00977		APOOP5			IPO5P1	PART1				RASL10A									
	CCDC26		CDH8			RPSAP58	NDUFAF2				MIR3653									
	FAM49B		LINC00920			PLEKHF1	LOC100506526				SNORD125									
	MIR5194		NAE1			LOC400684	CCNB1				ASCC2									
	ASAP1		CBFB			LRP3	TMEM171				MTMR3									
	ADCY8		AGRP			SLC7A10	BTF3				HORMAD2-AS1									
	OC90		MIR6773			CEBPA	TBCA				MORC2-AS1									
	HHLA1		SLC7A6OS			CEBPA-AS1	SCAMP1-AS1				MORC2									
	HPYR1		SNTB2			KCTD15	COX7C				TUG1									
	TMEM71		NIP7			PDCD2L	ARRDC3-AS1				EIF4ENIF1									
	PHF20L1		CMTR2			WTIP	GPR150				DEPDC5									
	TG		ZNF23			SCGB1B2P	LOC101927023				RFPL3									
	SLA		ZNF19			FXYD5	HINT1				RFPL3S									
	MIR7848		PKD1L3			LSR	P4HA2-AS1				LOC339666									
	LOC101927798		HPR			USF2	P4HA2				RBFOX2									
	LINC01591		LINC01572			MAG	PDLIM4				APOL2									
	ARC		PSMD7			HAUS5	GDF9				MIR6819									
	FAM138C		NPIPB15			RBM42	UQCRQ				EIF3D									
	C9orf66		MLKL			ETV2	VDAC1				TEX33									
	DOCK8		ZFP1			ZBTB32	CDKN2AIPNL				H1F0									
	LINC01231		CFDP1			KMT2B	CAMLG				DDX17									
	TPD52L3		TMEM170A			LRFN3	H2AFY				SNORD83A									
	PTPRD-AS2		ADAT1			SYNE4	LOC389332				LOC100130899									
	FREM1		KARS			CLIP3	CDC25C				ST13									
	SH3GL2		TERF2IP			THAP8	SIL1				MIR1281									
	MIR3152		NUDT7			WDR62	UBE2D2				EP300									
	IFNA21		MAFTRR			OVOL3	CXXC5				C22orf46									
	IFNA16		LINC01229			CAPNS1	CYSTM1				CYP2D6									
	IFNA17		ATMIN			LINC00665	PFDN1				LOC101929829									
	IFNA8		BCO1			LOC728485	SRA1				CYP2D7									
	CDKN2A-AS1		GAN			SIPA1L3	APBB3				TCF20									
	CDKN2B		MPHOSPH6			PPP1R14A	SLC35A4				PACSIN2									
	C9orf72		HSBP1			YIF1B	NDUFA2				NUP50									
	MIR873		HSDL1			C19orf33	PCDHB2				FAM118A									
	LINC01242		USP10			SPRED3	PCDHB5				LOC730668									
	LINC01251		MAP1LC3B			FAM98C	PCDHB13				PPARA									
	UBAP1		LOC102724467			RYR1	HDAC3				PKDREJ									
	FAM205BP		CENPBD1			ACTN4	GNPDA1				TRMU									
	FAM205C		CRK			CAPN12	NDFIP1				BRD1									
	PHF24		MIR22HG			LGALS4	SPRY4-IT1				ZBED4									
	OR2S2		MIR22			HNRNPL	ADRB2				TUBGCP6									
	LOC642929		MIR132			RINL	AFAP1L1				CPT1B									
	LINC01410		SRR			SIRT2	SLC6A7				BHLHE40-AS1									
	TMEM252		TSR1			NFKBIB	RBM22				BHLHE40									
	LINC01506		ASPA			SARS2	SMIM3				SETD5									
	LOC101927069		UBE2G1			FBXO17	GPX3				TTLL3									
	PRKACG		LOC103021295			FBXO27	ATOX1				EMC3-AS1									
	PCA3		ZNF594			PAK4	CYFIP2				FANCD2OS									
	SPATA31D3		RABEP1			SAMD4B	PTTG1				VHL									
	SPATA31D1		NUP88			RPS16	LOC285629				LINC00852									
	ZCCHC6		MIS12			TIMM50	FGF18				VGLL4									
	SPATA31E1		AIPL1			DYRK1B	FBXW11				SYN2									
	SPATA31C1		MED31			FBL	RPL26L1				IQSEC1									
	LOC286238		ALOX12P2			FCGBP	ATP6V0E1				XPC									
	MIR3153		ALOX12-AS1			MAP3K10	BNIP1				SLC6A6									
	LOC101927847		LINC00324			TTC9B	MSX2				GRIP2									
	MIR4290		KRBA2			CNTD2	LOC643201				FGD5-AS1									
	LINC01501		SCO1			AKT2	NOP16				NR2C2									
	NFIL3		ADPRM			C19orf47	CLTB				RBSN									
	LOC100128076		TMEM220			PLD3	ZNF346				EAF1									
	LOC642943		ZNF18			HIPK4	PRELID1				TBC1D5									
	MIRLET7A1		MAP2K4			PRX	MXD3				SATB1									
	LOC158434		MIR744			SERTAD1	LMAN2				KAT2B									
	CTSV		MIR1269B			SERTAD3	RMND5B				UBE2E1									
	LOC286359		COX10-AS1			SPTBN4	NHP2				TMPPE									
	GABBR2		HS3ST3B1			SHKBP1	HNRNPAB				CRTAP									
	NAMA		PMP22			LTBP4	COL23A1				UBP1									
	LINC01492		CDRT1			NUMBL	C5orf60				TRANK1									
	OR13F1		ZNF286A			ITPKC	C5orf45				C3orf35									
	OR13C2		ZSWIM7			C19orf54	LOC102577426				CTDSPL									
	FRRS1L		TTC19			SNRPA	TRIM7				EXOG									
	DNAJC25-GNG10		NCOR1			MIA	DUSP22				SNORA6									
	GNG10		PIGL			MIA-RAB4B	LOC101927691				SNORA62									
	SLC31A2		ZNF287			RAB4B-EGLN2	GMDS				ZNF619									
	AMBP		ZNF624			RAB4B	NQO2				ZNF621									
	LOC100505478		COPS3			EGLN2	TUBB2A				CTNNB1									
	TNFSF8		RAI1-AS1			CYP2B7P	PSMG4				TRAK1									
	TLR4		SMCR5			CYP2B6	FARS2				VIPR1-AS1									
	MEGF9		CCDC144B			CYP2A13	LOC101927972				SEC22C									
	OR1L3		TVP23B			AXL	BMP6				NKTR									
	OR5C1		PRPSAP2			HNRNPUL1	TXNDC5				LOC101928323									
	MIR7150		EPN2-IT1			CCDC97	BLOC1S5-TXNDC5				CYP8B1									
	LOC101929116		ALDH3A2			B3GNT8	LOC100506207				ZNF662									
	MIR3960		AKAP10			RPS19	LINC00518				ZNF445									
	LAMC3		SPECC1			ARHGEF1	TMEM14C				ZNF852									
	AIF1L		CCDC144CP			RABAC1	TMEM14B				ZNF197									
	TMEM8C		LOC100287072			ATP1A3	TBC1D7				KIAA1143									
	LOC401557		LOC339260			GRIK5	DTNBP1				TGM4									
	OBP2A		WSB1			DEDD2	NHLRC1				LIMD1									
	PAEP		IFT20			GSK3A	HIST1H3B				LIMD1-AS1									
	DKFZP434A062		MIR4723			ERF	HIST1H3F				FYCO1									
	LCN15		SEZ6			CIC	HIST1H3G				ALS2CL									
	LOC100133077		NSRP1			MEGF8	ABT1				MAP4									
	XG		MIR423			LIPE	LOC100270746				ZNF589									
	XGY2		MIR3184			PHLDB3	HIST1H2BK				PLXNB1									
	MIR651		SLC6A4			ZNF575	HIST1H4I				PRKAR2A									
	TLR8		CPD			XRCC1	HIST1H3H				PRKAR2A-AS1									
	FAM9C		GOSR1			ZNF428	HIST1H2AJ				ARIH2OS									
	GS1-600G8.3		SUZ12P1			SRRM5	HIST1H2AL				ARIH2									
	GLRA2		ATAD5			CADM4	HIST1H1B				QRICH1									
	BMX		TEFM			SMG9	TOB2P1				C3orf62									
	AP1S2		DPRXP4			KCNN4	TRIM27				MIR4271									
	GRPR		OMG			IGSF23	HLA-F-AS1				BSN									
	MAGEB17		UTP6			CBLC	HCG4				MST1									
	SYAP1		SUZ12			BCAM	LOC554223				RBM6									
	KLHL34		RHOT1			PVRL2	HCG4B				RBM5									
	SMPX		ARGFXP2			TOMM40	HCG9				RBM5-AS1									
	KLHL15		MIR632			APOE	ZNRD1				VPRBP									
	PPP4R3CP		ZNF207			APOC4	PPP1R11				GRM2									
	DCAF8L2		PSMD11			CLPTM1	RNF39				WDR82									
	MAGEB10		CCT6B			ZNF296	MIR6891				MIRLET7G									
	MAGEB2		ZNF830			PPP1R37	TRIM39-RPP21				GLYCTK-AS1									
	MAGEB3		SLFN5			TRAPPC6A	RPP21				SNORD19B									
	MAGEB4		SLFN11			BLOC1S3	PPP1R10				MUSTN1									
	MAGEB1		SLFN12			MARK4	MRPS18B				PRKCD									
	CXorf21		SLFN12L			KLC3	PSORS1C1				CACNA1D									
	GK		PEX12			ERCC2	HCP5				IL17RB									
	MAGEB16		PIGW			PPP1R13L	C6orf47				WNT5A									
	OTC		GGNBP2			CD3EAP	CSNK2B				FAM208A									
	NYX		AATF			ERCC1	ABHD16A				IL17RD									
	DUSP21		MIR2909			RTN2	LY6G6F				DENND6A									
	RP2		C17orf78			VASP	CLIC1				FLNB									
	CXXC1P1		TADA2A			OPA3	LSM2				PRICKLE2-AS1									
	SSX6		DDX52			EML2	NEU1				PRICKLE2									
	SSX3		GPR179			QPCTL	C2-AS1				PRICKLE2-AS2									
	PIM2		MIR4734			FBXO46	CFB				ADAMTS9									
	GAGE1		C17orf98			SIX5	PPT2				MAGI1									
	MIR502		MIR6866			DMPK	RNF5				LRIG1									
	AKAP4		CDC6			DMWD	RNF5P1				RYBP									
	LINC01496		SMARCE1			SYMPK	PSMB8				ROBO1									
	CENPVP1		KRT12			IRF2BP1	PSMB9				CPOX									
	CENPVP2		KRT20			MYPOP	HSD17B8				TOMM70A									
	SSX2		KRT23			CCDC61	B3GALT4				LNP1									
	SSX2B		KRT39			PPP5C	TAPBP				SENP7									
	PAGE2		LINC00974			CALM3	DAXX				ZBTB11-AS1									
	MIR223		KLHL11			DACT3	KIFC1				PDCL3P4									
	SLC7A3		DNAJC7			PRKD2	CUTA				NXPE3									
	CXorf65		RAMP2-AS1			STRN4	BAK1				GCSAM									
	IL2RG		CNTD1			FKRP	UQCC2				LINC01279									
	NHSL2		BECN1			SLC1A5	C6orf1				CCDC80									
	PABPC1L2B		MIR6781			AP2S1	SNRPC				C3orf17									
	CYSLTR1		PTGES3L			NPAS1	MIR7111				KIAA2018									
	ZCCHC5		BRCA1			ZC3H4	TULP1				ZDHHC23									
	TBX22		NBR1			BBC3	CDKN1A				LSAMP									
	MIR1321		CCDC43			MIR3190	MTCH1				IGSF11									
	DACH2		MGC57346-CRHR1			MIR3191	TMEM217				GSK3B									
	KLHL4		KANSL1-AS1			CCDC9	CCDC167				GOLGB1									
	PCDH11X		NSF			INAFM1	SAYSD1				LOC100129550									
	FAM133A		CDC27			SLC8A2	TREML1				CCDC14									
	BTK		EFCAB13			KPTN	TREM2				MIR544B									
	GLA		NPEPPS			NAPA	TOMM6				MUC13									
	NXF4		SP2-AS1			ZNF541	MED20				HEG1									
	TCEAL5		MIR152			GLTSCR1	BYSL				ZXDC									
	H2BFWT		CALCOCO2			EHD2	GUCA1A				TXNRD3NB									
	H2BFM		ZNF652			GLTSCR2	TBCC				TMCC1									
	TEX13A		SPOP			SNORD23	C6orf226				ATP2C1									
	NRK		KAT7			SEPW1	PPP2R5D				NUDT16									
	MUM1L1		TOB1			LIG1	MEA1				NPHP3									
	MIR3978		SPAG9			C19orf68	RRP36				CDV3									
	CAPN6		UTP18			SYNGR4	MRPL2				C3orf36									
	ZCCHC16		CA10			KDELR1	POLR1C				SLCO2A1									
	MIR4329		TOM1L1			GRIN2D	MAD2L1BP				RYK									
	HTR2C		COX11			CYTH2	MRPS18A				MIR6827									
	MIR448		STXBP4			LMTK3	VEGFA				SLC25A36									
	IL13RA2		MMD			FAM83E	MRPL14				TFDP2									
	RBMXL3		C17orf67			RPL18	SLC35B2				GK5									
	LUZP4		COIL			SPHK2	MIR4647				TRPC1									
	MIR1277		LOC101927557			DBP	MCM3				U2SURP									
	DOCK11		VEZF1			CA11	TMEM14A				HPS3									
	ZCCHC12		SEPT4-AS1			SEC1P	GSTA4				MED12L									
	KIAA1210		C17orf47			MAMSTR	KHDC1L				DHX36									
	RHOXF1P1		TEX14			RASIP1	KHDC1				LOC100996447									
	LOC100129520		RAD51C			BCAT2	OOEP				KPNA4									
	ACTRT1		TRIM37			HSD17B14	SLC17A5				PPM1L									
	ARHGAP36		SKA2			PLEKHA4	COX7A2				GOLIM4									
	USP26		MIR301A			NUCB1	TPBG				SEC62									
	MIR18B		CLTC			NUCB1-AS1	MRAP2				PHC3									
	MIR450A2		PTRH2			BAX	CNR1				ZMAT3									
	MIR424		TUBD1			GYS1	GABRR1				KCNMB3									
	ADGRG4		RPS6KB1			CGB	BVES				MFN1									
	ZIC3		RNFT1			CGB2	GSTM2P1				FXR1									
	F9		HEATR6			CGB5	TRAF3IP2				SOX2									
	MIR505		WFDC21P			NTF4	TPD52L1				YEATS2									
	LOC389895		APPBP2			SNRNP70	HDDC2				MAP6D1									
	SOX3		PPM1D			PPFIA3	HEY2				ABCC5									
	CDR1		BRIP1			TRPM4	CENPW				DVL3									
	SPANXD		CCDC47			PIH1D1	PEX7				SENP2									
	MAGEC3		TEX2			ALDH16A1	IL20RA				IGF2BP2									
	MAGEC1		POLG2			FLT3LG	HEBP2				CRYGS									
	SLITRK4		DDX5			RPL13A	FLJ46906				EIF4A2									
	SLITRK2		MIR3064			RPL13AP5	AIG1				SNORD2									
	MIR892A		MIR5047			SNORD32A	SF3B5				MIR1248									
	MIR891B		SMURF2			SNORD35A	RAB32				SNORA81									
	MIR891A		AMZ2P1			RPS11	RAET1G				SNORA63									
	MIR513C		CEP112			NOSIP	ULBP2				SNORA4									
	MIR513B		HELZ			PRRG2	MTHFD1L				LOC102724699									
	MIR513A2		PSMD12			PRR12	GTF2H5				ST6GAL1									
	MIR509-3		NOL11			SCAF1	MRPL18				LOC100131635									
	MIR510		BPTF			IRF3	PLG				BCL6									
	GPR50		C17orf58			BCL2L12	SFT2D1				CLDN1									
	PASD1		KPNA2			PRMT1	RNASET2				CCDC50									
	CNGA2		AMZ2			ADM5	LINC00242				MGC2889									
	GABRQ		SLC16A6			AP2A1	LINC00574				HES1									
	MAGEA6		PRKAR1A			MIR6799	PSMB1				ATP13A3									
	PNMA5		WIPI1			MED25	PDCD2				TMEM44									
	OPN1LW		ABCA6			MIR6800	GET4				LINC00969									
	OPN1MW2		MAP2K6			PTOV1	ZFAND2A				MIR570									
	OPN1MW		KCNJ2-AS1			MIR4749	LOC101927021				MUC4									
	TKTL1		KCNJ2			PTOV1-AS2	PSMG3				MIR6829									
	MPP1		LINC00511			PNKP	ELFN1-AS1				SDHAP1									
	SMIM9		FAM104A			AKT1S1	MIR4655				SLC51A									
	RAB39B		C17orf80			TBC1D17	NUDT1				PCYT1A									
			SUMO2			MIR4750	EIF3B				PAK2									
			SNORD1A			NUP62	AMZ1				PIGZ									
			LOC105274304			ATF5	RNF216P1				PIGG									
			SCARNA16			MIR4751	WIPI2				PCGF3									
			MIR6516			MYH14	ACTB				CTBP1-AS2									
			EIF4A3			NR1H2	AIMP2				UVSSA									
			USP14			POLD1	RAC1				CRIPAK									
			THOC1			FAM71E1	ZDHHC4				WHSC1									
			COLEC12			EMC10	RPA3				FAM193A									
			CLUL1			JOSD2	LOC100505938				ADD1									
			ENOSF1			LRRC4B	NDUFA4				NOP14-AS1									
			YES1			CLEC11A	SOSTDC1				NOP14									
			METTL4			KLK11	MALSU1				GRK4									
			NDC80			ETFB	RPS2P32				HTT									
			CBX3P2			MYADM	DFNA5				HGFAC									
			EMILIN2			PRKCG	LSM5				STK32B									
			LOC727896			TFPT	NPSR1				EVC									
			MYL12A			CNOT3	SEPT7-AS1				CRMP1									
			LOC104968399			LENG1	EPDR1				MAN2B2									
			MYL12B			TMC4	MPLKIP				MRFAP1									
			L3MBTL4			TSEN34	SUGCT				KIAA0232									
			L3MBTL4-AS1			RPS9	COA1				TBC1D14									
			PTPRM			LENG9	BLVRA				LOC100129931									
			NDUFV2			CDC42EP5	MRPS24				TADA2B									
			ANKRD12			EPS8L1	URGCP-MRPS24				AFAP1-AS1									
			TWSG1			PPP1R12C	DBNL				AFAP1									
			PPP4R1			TNNT1	DDX56				ACOX3									
			RAB31			PTPRH	TMED4				TRMT44									
			VAPA			TMEM86B	PPIA				MIR3138									
			NAPG			PPP6R1	SNHG15				CPEB2									
			PIEZO2			MIR6802	CCM2				DCAF16									
			CHMP1B			SUV420H2	TBRG4				SLIT2									
			SPIRE1			TMEM238	IGFBP3				KCNIP4									
			PSMG2			RPL28	DDC				MIR573									
			CEP76			MIR6805	SEC61G				CCDC149									
			PTPN2			ISOC2	ELDR				PCDH7									
			SEH1L			ZNF628	MRPS17				TBC1D1									
			LDLRAD4-AS1			SBK3	PSPH				RFC1									
			MIR4526			ZNF579	PHKG1				LOC401127									
			FAM210A			FIZ1	CHCHD2				UBE2K									
			ZNF519			ZNF524	GUSB				APBB2									
			ANKRD20A5P			ZNF865	TPST1				DCAF4L1									
			CXADRP3			ZNF784	TMEM248				ATP8A1									
			ROCK1			ZNF580	BCL7B				KCTD8									
			GREB1L			ZNF581	TBL2				USP46									
			ESCO1			CCDC106	WBSCR22				USP46-AS1									
			SNRPD1			U2AF2	CLDN4				SNORA26									
			ABHD3			EPN1	RFC2				LOC644145									
			MIR1-2			ZNF787	TMEM120A				KIAA1211									
			CTAGE1			ZNF444	STYXL1				NOA1									
			LOC101927571			ZSCAN5B	MDH2				LOC101927237									
			RBBP8			ZNF837	TP53TG1				YTHDC1									
			MIR4741			RPS5	LOC102723885				UTP3									
			RIOK3			RNF225	PON3				RUFY3									
			C18orf8			ZNF324B	MGC72080				MOB1B									
			NPC1			ZNF446	NPTX2				SLC4A4									
			ANKRD29			ZBTB45	ARPC1A				COX18									
			CABYR			TRIM28	BUD31				CNOT6L									
			OSBPL1A			MIR6807	PTCD1				FRAS1									
			IMPACT			UBE2M	ATP5J2-PTCD1				PRDM8									
			SS18			MZF1	ATP5J2				HNRNPD									
			TAF4B			TRAPPC12	GS1-259H13.2				HNRNPDL									
			AQP4			RNASEH1-AS1	OR2AE1				SCD5									
			AQP4-AS1			RPS7	TRIM4				WDFY3									
			DSG2			HPCAL1	GJC3				AFF1									
			DSG2-AS1			LOC101929715	COPS6				PPM1K									
			TRAPPC8			FLJ33534	LAMTOR4				FAM13A-AS1									
			RNF138			OSR1	PMS2P1				FAM13A									
			MEP1B			SDC1	POP7				TSPAN5									
			GAREM			RHOB	LINC01393				ADH1C									
			ZNF271P			HS1BP3	LINC01510				PPP3CA									
			ZNF24			FAM228B	FEZF1				GAR1									
			C18orf21			TP53I3	RNF148				LRIT3									
			RPRD1A			CENPO	GPR37				CEP170P1									
			SLC39A6			ADCY3	LOC100506682				LOC729218									
			ELP2			KIF3C	GCC1				LINC01061									
			LINC00669			SLC35F6	SND1				NDNF									
